SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"BRIGADE","605.50","607.65","585.45","605.10","592.00","-","-13.1","-2.16","308751","18.34","802.01","450.75","3.03","-18.98"
"BLUEJET","591.00","591.00","578.55","590.70","588.85","-","-1.85","-0.31","312902","18.29","805.00","325.00","-5.64","-24.18"
"ECLERX","1,806.00","1,822.00","1,781.40","1,795.60","1,812.00","-","16.4","0.91","98896","17.87","2,497.50","1,320.00","11.73","-11.49"
"IRCON","128.14","129.38","125.77","128.14","126.45","-","-1.69","-1.32","1396832","17.71","189.50","114.50","-3.74","-24.34"
"ANURAS","1,205.50","1,212.90","1,194.70","1,209.30","1,201.90","-","-7.4","-0.61","146323","17.64","1,415.00","1,045.20","-5.21","5.63"
"IRB","19.56","19.62","19.30","19.56","19.34","-","-0.22","-1.12","8884401","17.18","23.95","19.15","-4.68","-13.43"
"UTIAMC","907.00","924.90","907.00","905.80","915.00","-","9.2","1.02","186050","17.02","1,418.00","876.00","-8.89","-31.5"
"ABSLAMC","1,017.80","1,042.00","1,010.90","1,019.70","1,041.50","-","21.8","2.14","161763","16.64","1,224.90","708.00","-9.17","22.57"
"MAPMYINDIA","1,018.30","1,020.10","986.60","1,013.30","995.00","-","-18.3","-1.81","165017","16.45","1,998.00","795.00","-8.16","-44.35"
"EMAMILTD","402.30","402.50","395.90","402.30","396.35","-","-5.95","-1.48","407075","16.20","634.20","376.40","-5.94","-31.31"
"THELEELA","513.70","523.70","494.40","512.25","504.00","-","-8.25","-1.61","312729","16.01","527.00","384.50","0.6","16.6"
"IGL","154.00","155.00","152.53","153.07","154.85","-","1.78","1.16","989560","15.27","223.50","141.74","0.51","-24.84"
"NCC","144.82","145.38","143.01","144.76","144.00","-","-0.76","-0.53","1041362","14.96","225.40","130.00","-1.21","-35.38"
"STARHEALTH","584.70","587.75","580.70","584.70","583.85","-","-0.85","-0.15","255220","14.90","624.90","416.55","-3.22","31.25"
"TBOTEK","1,637.30","1,647.00","1,590.00","1,639.70","1,593.70","-","-46","-2.81","91830","14.85","1,764.80","1,004.20","5.9","10.26"
"FIVESTAR","545.00","555.50","545.00","546.25","554.85","-","8.6","1.57","263148","14.52","666.00","338.15","1.55","-2.99"
"TIMKEN","3,219.90","3,252.60","3,200.00","3,211.60","3,250.00","-","38.4","1.2","44928","14.49","3,925.00","2,800.50","1.4","12.41"
