SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"TSFINV","427.50","431.65","414.00","428.80","421.25","-","-7.55","-1.76","96739","4.06","701.50","331.70","-11.39","-11.23"
"DBREALTY","114.80","115.50","112.51","114.17","113.45","-","-0.72","-0.63","346535","3.92","187.40","83.50","-0.72","-38.87"
"SAFARI","1,502.00","1,507.00","1,476.80","1,500.20","1,477.00","-","-23.2","-1.55","26166","3.90","2,507.10","1,363.10","-9.45","-26.93"
"CENTURYPLY","776.40","776.40","761.10","776.40","764.70","-","-11.7","-1.51","49860","3.82","859.00","618.50","-3.2","5.67"
"GHCL","432.25","434.95","429.25","432.25","432.20","-","-0.05","-0.01","86368","3.73","667.20","416.60","-0.88","-23.48"
"CORONA","2,099.00","2,144.90","2,099.00","2,101.70","2,129.80","-","28.1","1.34","16664","3.55","2,270.10","1,336.60","4.26","0"
"STARCEMENT","199.43","201.38","197.61","197.98","199.98","-","2","1.01","176109","3.51","308.95","195.91","-2.57","-31.19"
"VIPIND","320.00","321.15","308.05","316.90","311.00","-","-5.9","-1.86","112036","3.49","454.30","278.25","2.64","-24.69"
"BIRLACORPN","901.00","906.95","890.00","898.20","904.00","-","5.8","0.65","37433","3.37","1,346.10","769.60","-6.35","-29.9"
"ANUP","1,925.00","1,925.00","1,864.30","1,907.90","1,867.00","-","-40.9","-2.14","17734","3.34","2,576.00","1,422.30","-13.91","-16.9"
"NESCO","1,050.00","1,060.00","1,034.00","1,048.30","1,036.00","-","-12.3","-1.17","31445","3.28","1,638.90","996.00","-5.73","-24.52"
"INDIGOPNTS","1,127.00","1,144.90","1,116.10","1,125.50","1,127.00","-","1.5","0.13","28881","3.26","1,345.90","708.05","7.09","2.54"
"ORIENTCEM","134.10","134.57","132.38","134.13","134.00","-","-0.13","-0.1","237182","3.16","244.37","122.32","-2.86","-43.67"
"SHAREINDIA","167.99","168.87","165.00","167.56","165.30","-","-2.26","-1.35","182206","3.03","211.00","115.36","-7.83","2.14"
"ALOKINDS","11.85","11.88","11.73","11.84","11.81","-","-0.03","-0.25","2446953","2.88","19.34","11.11","-6.12","-33.43"
"NFL","72.07","72.39","71.33","71.95","71.80","-","-0.15","-0.21","346984","2.49","102.97","63.35","-2.64","-22.22"
"AHLUCONT","836.00","836.00","804.75","833.95","809.50","-","-24.45","-2.93","29882","2.44","1,077.95","645.15","-3.97","-14.07"
"MAHSCOOTER","13,786.00","13,786.00","13,559.00","13,786.00","13,559.00","-","-227","-1.65","1350","1.85","18,538.00","10,901.00","3.2","-10.02"
"JAIBALAJI","66.60","67.53","65.01","66.88","65.50","-","-1.38","-2.06","218036","1.44","109.72","53.65","-0.85","-37.12"
"PURVA","211.50","214.60","209.60","212.31","210.50","-","-1.81","-0.85","63859","1.35","305.00","160.69","-6.05","-19.39"
"SANOFICONR","4,530.00","4,543.90","4,465.00","4,553.00","4,465.00","-","-88","-1.93","1361","0.61","5,357.00","3,975.00","-2.23","-13"
